"Notes"	"State"	"StateCode"	"Year"	"YearCode"	"Age"	"AgeCode"	Births	FPop	Rate
	"Alabama"	"01"	"2007"	"2007"	"Under 15 years"	"15"	136	Not Available	Not Available
	"Alabama"	"01"	"2007"	"2007"	"15-19 years"	"15-19"	8696	167011	52.07
	"Alabama"	"01"	"2007"	"2007"	"20-24 years"	"20-24"	20228	163425	123.78
	"Alabama"	"01"	"2007"	"2007"	"25-29 years"	"25-29"	18434	156497	117.79
	"Alabama"	"01"	"2007"	"2007"	"30-34 years"	"30-34"	11356	145591	78.00
	"Alabama"	"01"	"2007"	"2007"	"35-39 years"	"35-39"	4998	159044	31.43
	"Alabama"	"01"	"2007"	"2007"	"40-44 years"	"40-44"	919	166904	5.51
	"Alabama"	"01"	"2007"	"2007"	"45-49 years"	"45-49"	36	Not Available	Not Available
	"Alabama"	"01"	"2008"	"2008"	"Under 15 years"	"15"	160	Not Available	Not Available
	"Alabama"	"01"	"2008"	"2008"	"15-19 years"	"15-19"	8559	169375	50.53
	"Alabama"	"01"	"2008"	"2008"	"20-24 years"	"20-24"	19980	164263	121.63
	"Alabama"	"01"	"2008"	"2008"	"25-29 years"	"25-29"	18603	157839	117.86
	"Alabama"	"01"	"2008"	"2008"	"30-34 years"	"30-34"	11422	146382	78.03
	"Alabama"	"01"	"2008"	"2008"	"35-39 years"	"35-39"	4906	160006	30.66
	"Alabama"	"01"	"2008"	"2008"	"40-44 years"	"40-44"	878	162815	5.39
	"Alabama"	"01"	"2008"	"2008"	"45-49 years"	"45-49"	36	Not Available	Not Available
	"Alabama"	"01"	"2009"	"2009"	"Under 15 years"	"15"	160	Not Available	Not Available
	"Alabama"	"01"	"2009"	"2009"	"15-19 years"	"15-19"	8205	169867	48.30
	"Alabama"	"01"	"2009"	"2009"	"20-24 years"	"20-24"	18918	166287	113.77
	"Alabama"	"01"	"2009"	"2009"	"25-29 years"	"25-29"	18086	157961	114.50
	"Alabama"	"01"	"2009"	"2009"	"30-34 years"	"30-34"	11571	148915	77.70
	"Alabama"	"01"	"2009"	"2009"	"35-39 years"	"35-39"	4598	159486	28.83
